JUDUL,KATEGORI,tokens,stemmed
jubir interaksi anies dan ahok terjalin beberapa kali komunikasi hangat,Politik,"['jubir', 'interaksi', 'anies', 'ahok', 'terjalin', 'kali', 'komunikasi', 'hangat']",jubir interaksi anies ahok jalin kali komunikasi hangat
kemesraan ahokanies dinilai bikin persaingan di pilgub  terlupakan,Politik,"['kemesraan', 'ahokanies', 'dinilai', 'bikin', 'persaingan', 'pilgub', 'terlupakan']",mesra ahokanies nilai bikin saing pilgub lupa
tanda tanya kejutan ahok dan anies,Politik,"['tanda', 'kejutan', 'ahok', 'anies']",tanda kejut ahok anies
reaksi pdip kala ahok dan anies akrab siapkan kejutan,Politik,"['reaksi', 'pdip', 'ahok', 'anies', 'akrab', 'siapkan', 'kejutan']",reaksi pdip ahok anies akrab siap kejut
hengky kurniawan dapat tawaran akting usai kalah pilkada ,Politik,"['hengky', 'kurniawan', 'tawaran', 'akting', 'kalah', 'pilkada']",hengky kurniawan tawar akting kalah pilkada
video fedi nuril ingatkan pejabat tak langgar sumpah sudah ada yang kualat,Politik,"['video', 'fedi', 'nuril', 'ingatkan', 'pejabat', 'langgar', 'sumpah', 'kualat']",video fedi nuril ingat jabat langgar sumpah kualat
perjalanan hubungan ahokanies dulu rival kini siapkan kejutan,Politik,"['perjalanan', 'hubungan', 'ahokanies', 'rival', 'siapkan', 'kejutan']",jalan hubung ahokanies rival siap kejut
video alasan fedi nuril makin vokal ngomongin politik sudah marah,Politik,"['video', 'alasan', 'fedi', 'nuril', 'vokal', 'ngomongin', 'politik', 'marah']",video alas fedi nuril vokal ngomongin politik marah
pan sindir ada pihak nilai pertemuan ketum parpolprabowo tak baik,Politik,"['pan', 'sindir', 'nilai', 'pertemuan', 'ketum', 'parpolprabowo']",pan sindir nilai temu tum parpolprabowo
nasdem ungkap alasan paloh tak ikut pertemuan ketum parpol kim plusprabowo,Politik,"['nasdem', 'alasan', 'paloh', 'pertemuan', 'ketum', 'parpol', 'kim', 'plusprabowo']",nasdem alas paloh temu tum parpol kim plusprabowo
ketum kim plus temui prabowo bahas ekonomi dan politik akhir tahun,Politik,"['ketum', 'kim', 'plus', 'temui', 'prabowo', 'bahas', 'ekonomi', 'politik']",tum kim plus temu prabowo bahas ekonomi politik
arah masa depan politik kita,Politik,"['arah', 'politik']",arah politik
hasto jadi tersangka kasus harun masiku ini kata pdip,Politik,"['hasto', 'tersangka', 'harun', 'masiku', 'pdip']",hasto sangka harun mas pdip
ketua kpu pelantikan kepala daerah idealnya setelah  maret ,Politik,"['ketua', 'kpu', 'pelantikan', 'kepala', 'daerah', 'idealnya', 'maret']",ketua kpu lantik kepala daerah ideal maret
ketua fraksi golkar tegaskan komisi iii tak hanya urus kasus viral saja,Politik,"['ketua', 'fraksi', 'golkar', 'tegaskan', 'komisi', 'iii', 'urus', 'viral']",ketua fraksi golkar tegas komisi iii urus viral
ketua ampi usul ada uu lobi golkar berat kita penuh kepurapuraan,Politik,"['ketua', 'ampi', 'usul', 'uu', 'lobi', 'golkar', 'berat', 'penuh', 'kepurapuraan']",ketua ampi usul uu lobi golkar berat penuh kepurapuraan
doli golkar minta dprpemerintah segera bahas perbaikan sistem pemilu,Politik,"['doli', 'golkar', 'dprpemerintah', 'bahas', 'perbaikan', 'sistem', 'pemilu']",dol golkar dprpemerintah bahas baik sistem milu
ancangancang pramono bikin tim transisi jelang pimpin jakarta,Politik,"['ancangancang', 'pramono', 'bikin', 'tim', 'transisi', 'jelang', 'pimpin', 'jakarta']",ancangancang pramono bikin tim transisi jelang pimpin jakarta
golkar bilang hal berbeda saat megawati merasa dimusuhi,Politik,"['golkar', 'bilang', 'berbeda', 'megawati', 'dimusuhi']",golkar bilang beda megawati musuh
alasan virnie ismail yakin terjun ke dunia politik,Politik,"['alasan', 'virnie', 'ismail', 'terjun', 'dunia', 'politik']",alas virnie ismail terjun dunia politik
hasil pilkada lima daerah terpanas,Politik,"['hasil', 'pilkada', 'daerah', 'terpanas']",hasil pilkada daerah panas
cerita alam mbah dukun terjun ke pilkada banjar  lewat jalur independen,Politik,"['cerita', 'alam', 'mbah', 'dukun', 'terjun', 'pilkada', 'banjar', 'jalur', 'independen']",cerita alam mbah dukun terjun pilkada banjar jalur independen
kekuasaan legislatif di indonesia fungsi lembaga dan tugasnya,Politik,"['kekuasaan', 'legislatif', 'indonesia', 'fungsi', 'lembaga', 'tugasnya']",kuasa legislatif indonesia fungsi lembaga tugas
istri ungkap perbedaan denny cagur setelah jadi anggota dpr ri,Politik,"['istri', 'perbedaan', 'denny', 'cagur', 'anggota', 'dpr', 'ri']",istri beda denny cagur anggota dpr ri
tahapan menentukan pemenang pilgub jakarta kpu rapat  hari,Politik,"['tahapan', 'menentukan', 'pemenang', 'pilgub', 'jakarta', 'kpu', 'rapat']",tahap tentu menang pilgub jakarta kpu rapat
sahrul gunawan siap kalah atau menang di pilbup bandung,Politik,"['sahrul', 'gunawan', 'kalah', 'menang', 'pilbup', 'bandung']",sahrul gunawan kalah menang pilbup bandung
kecemasan di tengah deklarasi kemenangan pramonorano,Politik,"['kecemasan', 'deklarasi', 'kemenangan', 'pramonorano']",cemas deklarasi menang pramonorano
batalnya pesta kemenangan rido di hotel sultan,Politik,"['batalnya', 'pesta', 'kemenangan', 'rido', 'hotel', 'sultan']",batal pesta menang rido hotel sultan
ayah rojak ditawari masuk politik ayu ting ting nggak usah banyak gaya,Politik,"['ayah', 'rojak', 'ditawari', 'masuk', 'politik', 'ayu', 'ting', 'ting', 'nggak', 'gaya']",ayah rojak tawar masuk politik ayu ting ting nggak gaya
pdip klaim menang di  provinsi kabupaten suara rakyat suara tuhan,Politik,"['pdip', 'klaim', 'menang', 'provinsi', 'kabupaten', 'suara', 'rakyat', 'suara', 'tuhan']",pdip klaim menang provinsi kabupaten suara rakyat suara tuhan
sahrul gunawan degdegan tunggu hasil penghitungan suara kpu pilbup bandung,Politik,"['sahrul', 'gunawan', 'degdegan', 'tunggu', 'hasil', 'penghitungan', 'suara', 'kpu', 'pilbup', 'bandung']",sahrul gunawan degdegan tunggu hasil hitung suara kpu pilbup bandung
legislator pkb ajak perempuan terjun dunia politik sesuai ajaran agama,Politik,"['legislator', 'pkb', 'ajak', 'perempuan', 'terjun', 'dunia', 'politik', 'sesuai', 'ajaran', 'agama']",legislator pkb ajak perempuan terjun dunia politik sesuai ajar agama
sahrul gunawan siap kembali jadi selebritas jika kalah di pilbup bandung,Politik,"['sahrul', 'gunawan', 'selebritas', 'kalah', 'pilbup', 'bandung']",sahrul gunawan selebritas kalah pilbup bandung
sahrul gunawan masih tunggu hasil resmi penghitungan suara kpu pilbup bandung,Politik,"['sahrul', 'gunawan', 'tunggu', 'hasil', 'resmi', 'penghitungan', 'suara', 'kpu', 'pilbup', 'bandung']",sahrul gunawan tunggu hasil resmi hitung suara kpu pilbup bandung
kalah di pilkada pemalang vicky prasetyo minta maaf,Politik,"['kalah', 'pilkada', 'pemalang', 'vicky', 'prasetyo', 'maaf']",kalah pilkada malang vicky prasetyo maaf
bupati blora nyoblos di seren bareng istri dan anak optimis asri menang mutlak,Politik,"['bupati', 'blora', 'nyoblos', 'seren', 'bareng', 'istri', 'anak', 'optimis', 'asri', 'menang', 'mutlak']",bupati blora nyoblos seren bareng istri anak optimis asri menang mutlak
berharap tuah jokowianies,Politik,"['berharap', 'tuah', 'jokowianies']",harap tuah jokowianies
hilirisasi demokrasi nasib profesional politik pasca pilkada ,Politik,"['hilirisasi', 'demokrasi', 'nasib', 'profesional', 'politik', 'pasca', 'pilkada']",hilir demokrasi nasib profesional politik pasca pilkada
kronologi rombongan mobil ketua dpp nasdem diserang orang ditikam di tapteng,Politik,"['kronologi', 'rombongan', 'mobil', 'ketua', 'dpp', 'nasdem', 'diserang', 'orang', 'ditikam', 'tapteng']",kronologi rombong mobil ketua dpp nasdem serang orang tikam tapteng
janji pramono anung lanjutkan warisan ahok hingga anies,Politik,"['janji', 'pramono', 'anung', 'lanjutkan', 'warisan', 'ahok', 'anies']",janji pramono anung lanjut waris ahok anies
jubir pks kalau anies dukung pdip maka loyalisnya tentu berseberangan,Politik,"['jubir', 'pks', 'anies', 'dukung', 'pdip', 'loyalisnya', 'berseberangan']",jubir pks anies dukung pdip loyalis berangan
isu pertemuan dengan elon musk dibantah iran cuma karangan belaka,Politik,"['isu', 'pertemuan', 'elon', 'musk', 'dibantah', 'iran', 'karangan', 'belaka']",isu temu elon musk ban iran karang belaka
jawaban fedi nuril ditanya netizen kapan pindah negara,Politik,"['fedi', 'nuril', 'netizen', 'pindah', 'negara']",fedi nuril netizen pindah negara
reaksi pramono dan rk soal hasil survei di  pekan jelang coblosan,Politik,"['reaksi', 'pramono', 'rk', 'hasil', 'survei', 'pekan', 'jelang', 'coblosan']",reaksi pramono rk hasil survei pekan jelang coblos
klarifikasi pihak anies soal foto dipakai di flyer iuran partai perubahan,Politik,"['klarifikasi', 'anies', 'foto', 'dipakai', 'flyer', 'iuran', 'partai', 'perubahan']",klarifikasi anies foto pakai flyer iur partai ubah
tentang pesan prabowo agar pemerintahan bersih dari dendam politik,Politik,"['pesan', 'prabowo', 'pemerintahan', 'bersih', 'dendam', 'politik']",pesan prabowo perintah bersih dendam politik
bahlil umumkan  waketum golkar bamsoet idrus ace hingga meutya,Politik,"['bahlil', 'umumkan', 'waketum', 'golkar', 'bamsoet', 'idrus', 'ace', 'meutya']",bahlil umum waketum golkar bamsoet idrus ace meutya
golkar dikabarkan umumkan kader baru mengejutkan sore ini siapa,Politik,"['golkar', 'dikabarkan', 'umumkan', 'kader', 'mengejutkan', 'sore']",golkar kabar umum kader kejut sore
sindiran hasto mentalitas kalah gegara temui jokowi dibalas rk,Politik,"['sindiran', 'hasto', 'mentalitas', 'kalah', 'gegara', 'temui', 'jokowi', 'dibalas', 'rk']",sindir hasto mentalitas kalah gegara temu jokowi balas rk
kata jokowi soal projo usai purnatugas ya terserah,Politik,"['jokowi', 'projo', 'purnatugas', 'ya', 'terserah']",jokowi projo purnatugas ya serah
sanuji mau legalkan tambang ilegal di lebak hasbi jangan bodohi publik,Politik,"['sanuji', 'legalkan', 'tambang', 'ilegal', 'lebak', 'hasbi', 'bodohi', 'publik']",sanuji legal tambang ilegal lebak hasbi bodoh publik
hasbi singgung sanuji jadikan isu dob cilangkahan dagangan politik,Politik,"['hasbi', 'singgung', 'sanuji', 'jadikan', 'isu', 'dob', 'cilangkahan', 'dagangan', 'politik']",hasbi singgung sanuji jadi isu dob cilangkahan dagang politik
analisis csis soal dampak kabinet prabowo ke jumlah anggota dpr ,Politik,"['analisis', 'csis', 'dampak', 'kabinet', 'prabowo', 'anggota', 'dpr']",analisis csis dampak kabinet prabowo anggota dpr
beda elektabilitas  cagubcawagub jakarta versi  survei terbaru,Politik,"['beda', 'elektabilitas', 'cagubcawagub', 'jakarta', 'versi', 'survei', 'terbaru']",beda elektabilitas cagubcawagub jakarta versi survei baru
pdip hormati putusan ptun tak terima gugatan penetapan pilpres ,Politik,"['pdip', 'hormati', 'putusan', 'ptun', 'terima', 'gugatan', 'penetapan', 'pilpres']",pdip hormat putus ptun terima gugat tetap pilpres
sisi lain infrastruktur warisan jokowi,Politik,"['sisi', 'infrastruktur', 'warisan', 'jokowi']",sisi infrastruktur waris jokowi
pengamat politik uin mataram  menko bantu gibran yang belum pengalaman,Politik,"['pengamat', 'politik', 'uin', 'mataram', 'menko', 'bantu', 'gibran', 'pengalaman']",amat politik uin mataram menko bantu gibran alam
rangkaian hut ke golkar mulai  oktober puncaknya  desember,Politik,"['rangkaian', 'hut', 'golkar', 'oktober', 'puncaknya', 'desember']",rangkai hut golkar oktober puncak desember
bertemu di kemhan ini yang dibahas prabowo dengan para ketum partai kim,Politik,"['bertemu', 'kemhan', 'dibahas', 'prabowo', 'ketum', 'partai', 'kim']",temu kemhan bahas prabowo tum partai kim
bedabeda pandangan di internal pdip soal gabung kabinet prabowo,Politik,"['bedabeda', 'pandangan', 'internal', 'pdip', 'gabung', 'kabinet', 'prabowo']",bedabeda pandang internal pdip gabung kabinet prabowo
tarik ulur jatah menteri kabinet prabowogibran,Politik,"['tarik', 'ulur', 'jatah', 'menteri', 'kabinet', 'prabowogibran']",tarik ulur jatah menteri kabinet prabowogibran
daftar calon menteri yang dipanggil prabowo ada nama kejutan,Politik,"['daftar', 'calon', 'menteri', 'dipanggil', 'prabowo', 'nama', 'kejutan']",daftar calon menteri panggil prabowo nama kejut
daftar nama calon menteri yang dipanggil prabowo,Politik,"['daftar', 'nama', 'calon', 'menteri', 'dipanggil', 'prabowo']",daftar nama calon menteri panggil prabowo
gibran dukung rencana pertemuan prabowomegawati silaturahmi hal yang baik,Politik,"['gibran', 'dukung', 'rencana', 'pertemuan', 'prabowomegawati', 'silaturahmi']",gibran dukung rencana temu prabowomegawati silaturahmi
bagibagi jatah menteri era prabowo,Politik,"['bagibagi', 'jatah', 'menteri', 'era', 'prabowo']",bagibagi jatah menteri era prabowo
terima salim segaf dkk prabowo terkenang segajah dengan pks,Politik,"['terima', 'salim', 'segaf', 'dkk', 'prabowo', 'terkenang', 'segajah', 'pks']",terima salim segaf dkk prabowo kenang gajah pks
bara jp gelar rakernas mau selaraskan program dengan asta cita prabowogibran,Politik,"['bara', 'jp', 'gelar', 'rakernas', 'selaraskan', 'program', 'asta', 'cita', 'prabowogibran']",bara jp gelar rakernas selaras program asta cita prabowogibran
kelakar ibas soal kabinet prabowo sebagian besar sedang harapharap cemas,Politik,"['kelakar', 'ibas', 'kabinet', 'prabowo', 'harapharap', 'cemas']",kelakar ibas kabinet prabowo harapharap cemas
muzani bicara peluang prabowo bertemu dengan megawati saat hut  oktober,Politik,"['muzani', 'bicara', 'peluang', 'prabowo', 'bertemu', 'megawati', 'hut', 'oktober']",muzani bicara peluang prabowo temu megawati hut oktober
strategi tiga srikandi babat suara jawa timur,Politik,"['strategi', 'srikandi', 'babat', 'suara', 'jawa', 'timur']",strategi srikandi babat suara jawa timur
aspek penting yang bikin prabowo masuk top  muslim berpengaruh dunia ,Politik,"['aspek', 'bikin', 'prabowo', 'masuk', 'top', 'muslim', 'berpengaruh', 'dunia']",aspek bikin prabowo masuk top muslim pengaruh dunia
adu janji para perempuan jawa timur,Politik,"['adu', 'janji', 'perempuan', 'jawa', 'timur']",adu janji perempuan jawa timur
cerita riza mudah urus pindahan kantor gerindra jakarta enak jadi penguasa,Politik,"['cerita', 'riza', 'mudah', 'urus', 'pindahan', 'kantor', 'gerindra', 'jakarta', 'enak', 'penguasa']",cerita riza mudah urus pindah kantor gerindra jakarta enak kuasa
profil rusdi kirana wakil ketua mpr baru yang jadi calo tiket pesawat saat kuliah,Politik,"['profil', 'rusdi', 'kirana', 'wakil', 'ketua', 'mpr', 'calo', 'tiket', 'pesawat', 'kuliah']",profil rusdi kirana wakil ketua mpr calo tiket pesawat kuliah
tema debat perdana pilgub jakarta penguatan sdmtransformasi kota global,Politik,"['tema', 'debat', 'perdana', 'pilgub', 'jakarta', 'penguatan', 'sdmtransformasi', 'kota', 'global']",tema debat perdana pilgub jakarta kuat sdmtransformasi kota global
makin terang kabar jumlah komisi di dpr bertambah jadi ,Politik,"['terang', 'kabar', 'komisi', 'dpr', 'bertambah']",terang kabar komisi dpr tambah
pd soal komisi dpr bertambah tunggu kementerian pemerintahan prabowo,Politik,"['pd', 'komisi', 'dpr', 'bertambah', 'tunggu', 'kementerian', 'pemerintahan', 'prabowo']",pd komisi dpr tambah tunggu menteri perintah prabowo
momen akrab prabowo dan puan  kali dalam sehari,Politik,"['momen', 'akrab', 'prabowo', 'puan', 'kali', 'sehari']",momen akrab prabowo puan kali hari
petinggi pks akan temui prabowo sebelum pelantikan presiden,Politik,"['petinggi', 'pks', 'temui', 'prabowo', 'pelantikan', 'presiden']",petinggi pks temu prabowo lantik presiden
ridwan kamil tak bisa terima kematian anaknya disinggung di x,Politik,"['ridwan', 'kamil', 'terima', 'kematian', 'anaknya', 'disinggung', 'x']",ridwan kamil terima mati anak singgung x
dasco ungkap persiapan prabowo jelang pelantikan presiden jaga stamina,Politik,"['dasco', 'persiapan', 'prabowo', 'jelang', 'pelantikan', 'presiden', 'jaga', 'stamina']",dasco siap prabowo jelang lantik presiden jaga stamina
pdip akan hadapi gugatan tia rahmania di pn jakpus soal pemecatan,Politik,"['pdip', 'hadapi', 'gugatan', 'tia', 'rahmania', 'pn', 'jakpus', 'pemecatan']",pdip hadap gugat tia rahmania pn jakpus pecat
pan setuju ada penambahan komisi dpr bantah wahana bagibagi kursi,Politik,"['pan', 'setuju', 'penambahan', 'komisi', 'dpr', 'bantah', 'wahana', 'bagibagi', 'kursi']",pan tuju tambah komisi dpr bantah wahana bagibagi kursi
kaesang pakai rompi putra mulyono demokrat cara kreatif respons kritik,Politik,"['kaesang', 'pakai', 'rompi', 'putra', 'mulyono', 'demokrat', 'kreatif', 'respons', 'kritik']",kaesang pakai rompi putra mulyono demokrat kreatif respons kritik
hal yang diucapkan prabowo soal rencana bertemu megawati,Politik,"['prabowo', 'rencana', 'bertemu', 'megawati']",prabowo rencana temu megawati
rompi putra mulyono dinilai jadi cara kaesang serang balik pencemooh jokowi,Politik,"['rompi', 'putra', 'mulyono', 'dinilai', 'kaesang', 'serang', 'pencemooh', 'jokowi']",rompi putra mulyono nilai kaesang serang cemooh jokowi
dharmakun bakal blusukan online saat kampanye apa maksudnya,Politik,"['dharmakun', 'blusukan', 'online', 'kampanye', 'maksudnya']",dharmakun blusukan online kampanye maksud
data formappi anggota dpr milenial  orang di atas  tahun ada ,Politik,"['data', 'formappi', 'anggota', 'dpr', 'milenial', 'orang']",data formappi anggota dpr milenial orang
kasus zahir tersangka pppk tetap lanjut meski  kali penangguhan penahanan,Politik,"['zahir', 'tersangka', 'pppk', 'kali', 'penangguhan', 'penahanan']",zahir sangka pppk kali tangguh tahan
sejarah nomor urut pilgub jakarta dari pilkada langsung  hingga ,Politik,"['sejarah', 'nomor', 'urut', 'pilgub', 'jakarta', 'pilkada', 'langsung']",sejarah nomor urut pilgub jakarta pilkada langsung
rencana fahri hamzah gabung golkar diungkap bahlil,Politik,"['rencana', 'fahri', 'hamzah', 'gabung', 'golkar', 'diungkap', 'bahlil']",rencana fahri hamzah gabung golkar ungkap bahlil
respons fahri hamzah usai bahlil bilang ke jokowi soal bakal masuk golkar,Politik,"['respons', 'fahri', 'hamzah', 'bahlil', 'bilang', 'jokowi', 'masuk', 'golkar']",respons fahri hamzah bahlil bilang jokowi masuk golkar
pks soal pertemuan sbyjokowi rakyat rukun lihat pemimpin bertemu,Politik,"['pks', 'pertemuan', 'sbyjokowi', 'rakyat', 'rukun', 'lihat', 'pemimpin', 'bertemu']",pks temu sbyjokowi rakyat rukun lihat pimpin temu
pan soal kans pdip gabung koalisi pertemuan prabowomega lebih dari itu,Politik,"['pan', 'kans', 'pdip', 'gabung', 'koalisi', 'pertemuan', 'prabowomega']",pan kans pdip gabung koalisi temu prabowomega
demokrat jelaskan perbedaan isi pertemuan sby dengan prabowo dan jokowi,Politik,"['demokrat', 'perbedaan', 'isi', 'pertemuan', 'sby', 'prabowo', 'jokowi']",demokrat beda isi temu sby prabowo jokowi
